Name,Latitude,Longitude,Altitude,Dist,AvgSpd,Description,Icon,IconScale,IconAltitude,IconHeading,	IconColor,	LineStringColor,HideNameUntilMouseOver
6 rue Saint-Spireresized_imagerue d'Alexandrie , 48.8684023 , 2.3502078 , 0 , 0 , 0 , NO.0<br/>6 rue Saint-Spireresized_imagerue d'Alexandrie<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Nathalie-Lemel , 48.8647563 , 2.3632147 , 0 , 0 , 0 , NO.1<br/>Place Nathalie-Lemel<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Passage du Pont-aux-Bichesresized_imagerue Notre-Dame-de-Nazareth , 48.8674231 , 2.3585861 , 0 , 0 , 0 , NO.2<br/>Passage du Pont-aux-Bichesresized_imagerue Notre-Dame-de-Nazareth<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Boulevard de Sébastopolresized_imagesquare Chautemps , 48.8670855 , 2.3530694 , 0 , 0 , 0 , NO.3<br/>Boulevard de Sébastopolresized_imagesquare Chautemps<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
9 allée des Justes , 48.8551549 , 2.3558324 , 0 , 0 , 0 , NO.4<br/>9 allée des Justes<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Louis-Lépine (côté Hôtel-Dieu) , 48.8552512 , 2.3476157 , 0 , 0 , 0 , NO.5<br/>Place Louis-Lépine (côté Hôtel-Dieu)<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Louis-Lépine (côté tribunal de commerce) , 48.8552816 , 2.3474675 , 0 , 0 , 0 , NO.6<br/>Place Louis-Lépine (côté tribunal de commerce)<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Louis-Lépine (côté tribunal de commerce) , 48.8553803 , 2.3476867 , 0 , 0 , 0 , NO.7<br/>Place Louis-Lépine (côté tribunal de commerce)<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Louis-Lépine (côté Hôtel-Dieu) , 48.8554064 , 2.3475533 , 0 , 0 , 0 , NO.8<br/>Place Louis-Lépine (côté Hôtel-Dieu)<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
7 boulevard du Palais , 48.8548336 , 2.3455606 , 0 , 0 , 0 , NO.9<br/>7 boulevard du Palais<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , false , 
123 rue Saint-Antoineresized_image1 rue de Rivoliresized_imagerue François-Miron , 48.855429 , 2.359531 , 0 , 0 , 0 , NO.10<br/>123 rue Saint-Antoineresized_image1 rue de Rivoliresized_imagerue François-Miron<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Bernard-Halpern , 48.8403571 , 2.3507117 , 0 , 0 , 0 , NO.11<br/>Place Bernard-Halpern<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
37 rue de la Bûcherie , 48.8526158 , 2.3471643 , 0 , 0 , 0 , NO.12<br/>37 rue de la Bûcherie<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place de l'Émir-Abdelkader , 48.8397766 , 2.3563951 , 0 , 0 , 0 , NO.13<br/>Place de l'Émir-Abdelkader<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Rue Geoffroy-Saint-Hilaireresized_imageangle avec la rue Cuvier , 48.8437212 , 2.3551124 , 0 , 0 , 0 , NO.14<br/>Rue Geoffroy-Saint-Hilaireresized_imageangle avec la rue Cuvier<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
35 Rue Poliveau (face rue de l'Essai) , 48.8400361 , 2.358138 , 0 , 0 , 0 , NO.15<br/>35 Rue Poliveau (face rue de l'Essai)<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Emmanuel-Lévinas , 48.8445578 , 2.3478015 , 0 , 0 , 0 , NO.16<br/>Place Emmanuel-Lévinas<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Pont Neufresized_imageQuai des Grands-Augustins , 48.8561113 , 2.340643 , 0 , 0 , 0 , NO.17<br/>Pont Neufresized_imageQuai des Grands-Augustins<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
9 place Saint-André-des-Arts , 48.8529019 , 2.3430541 , 0 , 0 , 0 , NO.18<br/>9 place Saint-André-des-Arts<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
2 Place Saint-Germain-des-Prés , 48.854464 , 2.333416 , 0 , 0 , 0 , NO.19<br/>2 Place Saint-Germain-des-Prés<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , false , 
Place Saint-Sulpice , 48.8506752 , 2.3329343 , 0 , 0 , 0 , NO.20<br/>Place Saint-Sulpice<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
24 rue Vavinresized_imagerue Bréa , 48.843622 , 2.330235 , 0 , 0 , 0 , NO.21<br/>24 rue Vavinresized_imagerue Bréa<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
7 boulevard des Invalides , 48.8516782 , 2.3146314 , 0 , 0 , 0 , NO.22<br/>7 boulevard des Invalides<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Avenue des Champs-Élysées (au niveau de la place de la Concorderesized_imagecôté nord) , 48.8662853 , 2.3197532 , 0 , 0 , 0 , NO.23<br/>Avenue des Champs-Élysées (au niveau de la place de la Concorderesized_imagecôté nord)<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Avenue des Champs-Élysées (au niveau de la place de la Concorderesized_imagecôté sud) , 48.86589 , 2.318732 , 0 , 0 , 0 , NO.24<br/>Avenue des Champs-Élysées (au niveau de la place de la Concorderesized_imagecôté sud)<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
12 boulevard des Batignollesresized_imagesur le terre-plein central , 48.8832839 , 2.3261502 , 0 , 0 , 0 , NO.25<br/>12 boulevard des Batignollesresized_imagesur le terre-plein central<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
82 avenue Marceauresized_imagerue Vernet , 48.87063 , 2.29792 , 0 , 0 , 0 , NO.26<br/>82 avenue Marceauresized_imagerue Vernet<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Rue de Saint-Pétersbourgresized_imagerue de Turin , 48.8805089 , 2.324763 , 0 , 0 , 0 , NO.27<br/>Rue de Saint-Pétersbourgresized_imagerue de Turin<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
4 place de Budapest , 48.8775035 , 2.3271975 , 0 , 0 , 0 , NO.28<br/>4 place de Budapest<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Gustave-Toudouze , 48.8795193 , 2.3372522 , 0 , 0 , 0 , NO.29<br/>Place Gustave-Toudouze<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , false , 
Place Jacques-Bonsergent , 48.8711656 , 2.3608619 , 0 , 0 , 0 , NO.30<br/>Place Jacques-Bonsergent<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Rue Juliette-Dodu , 48.875943 , 2.368546 , 0 , 0 , 0 , NO.31<br/>Rue Juliette-Dodu<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Robert-Desnosresized_imagerue Boy-Zelenski , 48.877437 , 2.368474 , 0 , 0 , 0 , NO.32<br/>Place Robert-Desnosresized_imagerue Boy-Zelenski<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place de la Fontaine-Timbaudresized_imageface au 44 rue Jean-Pierre-Timbaud , 48.866298 , 2.371796 , 0 , 0 , 0 , NO.33<br/>Place de la Fontaine-Timbaudresized_imageface au 44 rue Jean-Pierre-Timbaud<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
1 boulevard Richard-Lenoirresized_imagesur le terre-plein central , 48.854364 , 2.369415 , 0 , 0 , 0 , NO.34<br/>1 boulevard Richard-Lenoirresized_imagesur le terre-plein central<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
89-91 boulevard Richard-Lenoirresized_imagesur le terre-plein central , 48.862112 , 2.372103 , 0 , 0 , 0 , NO.35<br/>89-91 boulevard Richard-Lenoirresized_imagesur le terre-plein central<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Esplanade Roger-Linetresized_imageface au 94 rue Jean-Pierre-Timbaud , 48.8677797 , 2.3773892 , 0 , 0 , 0 , NO.36<br/>Esplanade Roger-Linetresized_imageface au 94 rue Jean-Pierre-Timbaud<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
143-149 rue de la Roquetteresized_imagedevant l'entrée du square de la Roquette , 48.859118 , 2.385315 , 0 , 0 , 0 , NO.37<br/>143-149 rue de la Roquetteresized_imagedevant l'entrée du square de la Roquette<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
197 boulevard Voltaireresized_imageangle avec la rue Léon-Frot , 48.853124 , 2.388258 , 0 , 0 , 0 , NO.38<br/>197 boulevard Voltaireresized_imageangle avec la rue Léon-Frot<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Avenue de Saint-Mandéresized_imagerue du Rendez-Vous , 48.8448378 , 2.4051177 , 0 , 0 , 0 , NO.39<br/>Avenue de Saint-Mandéresized_imagerue du Rendez-Vous<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , false , 
